map_index,k_index,target_states,auxiliary_states,ng,initial_source,initial_seed,initial_gram_norm,initial_imaginary_norm,initial_sha256,initial_unchanged,converged,iterations,elapsed_seconds,solver_n_matvec,operator_counts,counts_after_explicit_residual,orthogonality_frobenius,max_explicit_residual_ha
116,1,24,6,2777,Previous map from this run only,64001,2.323488729180895e-14,3.8569866501476757,85774197746f3290a75e3f32678487c835a91f5c4150037863b8d875b5981c0e,True,True,16,0.5901930332183838,334,"{""full_mul_calls"":17,""full_columns"":334,""fr_mul_calls"":17,""fr_columns"":334,""common"":{""operator_mul_calls"":17,""operator_columns"":334,""scalar_mul_calls"":34,""scalar_columns"":668}}","{""full_mul_calls"":18,""full_columns"":358,""fr_mul_calls"":18,""fr_columns"":358,""common"":{""operator_mul_calls"":18,""operator_columns"":358,""scalar_mul_calls"":36,""scalar_columns"":716}}",1.962584593268615e-14,9.693809212681271e-11
116,2,24,6,2770,Previous map from this run only,64002,2.64157916558473e-14,4.0292332125785775,b0367eacce77bed028993902c2f38261dc43d6f2ac2e1b6d0ccea24db6679c82,True,True,16,0.6254911422729492,342,"{""full_mul_calls"":17,""full_columns"":342,""fr_mul_calls"":17,""fr_columns"":342,""common"":{""operator_mul_calls"":17,""operator_columns"":342,""scalar_mul_calls"":34,""scalar_columns"":684}}","{""full_mul_calls"":18,""full_columns"":366,""fr_mul_calls"":18,""fr_columns"":366,""common"":{""operator_mul_calls"":18,""operator_columns"":366,""scalar_mul_calls"":36,""scalar_columns"":732}}",1.804357660835726e-14,9.57108858055523e-11
116,3,24,6,2770,Previous map from this run only,64003,2.316008891530806e-14,3.9118840081427817,5cf57e3d9945fc22f930bb0560a4104bae22f1eb3aff04e15db77bdedcbf2065,True,True,16,0.7488729953765869,342,"{""full_mul_calls"":17,""full_columns"":342,""fr_mul_calls"":17,""fr_columns"":342,""common"":{""operator_mul_calls"":17,""operator_columns"":342,""scalar_mul_calls"":34,""scalar_columns"":684}}","{""full_mul_calls"":18,""full_columns"":366,""fr_mul_calls"":18,""fr_columns"":366,""common"":{""operator_mul_calls"":18,""operator_columns"":366,""scalar_mul_calls"":36,""scalar_columns"":732}}",1.9006222744970004e-14,9.303084681178206e-11
117,1,24,6,2777,Previous map from this run only,64001,2.3177698029638656e-14,3.7567006541046037,deedcc3af5e860bbdce6ef1933c2e0d61bba112fe6f5ce5016497a9b4c90c3f6,True,True,15,0.6002600193023682,326,"{""full_mul_calls"":16,""full_columns"":326,""fr_mul_calls"":16,""fr_columns"":326,""common"":{""operator_mul_calls"":16,""operator_columns"":326,""scalar_mul_calls"":32,""scalar_columns"":652}}","{""full_mul_calls"":17,""full_columns"":350,""fr_mul_calls"":17,""fr_columns"":350,""common"":{""operator_mul_calls"":17,""operator_columns"":350,""scalar_mul_calls"":34,""scalar_columns"":700}}",1.925536870148281e-14,9.709341949011254e-11
117,2,24,6,2770,Previous map from this run only,64002,2.3007393757153402e-14,3.699589449287272,b521632065534f47bffd8b4871475a40e7fd2fced087c2d1fda4739e21a04e9f,True,True,16,0.7525839805603027,340,"{""full_mul_calls"":17,""full_columns"":340,""fr_mul_calls"":17,""fr_columns"":340,""common"":{""operator_mul_calls"":17,""operator_columns"":340,""scalar_mul_calls"":34,""scalar_columns"":680}}","{""full_mul_calls"":18,""full_columns"":364,""fr_mul_calls"":18,""fr_columns"":364,""common"":{""operator_mul_calls"":18,""operator_columns"":364,""scalar_mul_calls"":36,""scalar_columns"":728}}",2.16233184498673e-14,9.6105780858609e-11
117,3,24,6,2770,Previous map from this run only,64003,2.5061948680678892e-14,3.676180596521454,2068ec5e0cccc20669cef93846b3db3ca2b3a1d720b1432247fd2c9464cf6b82,True,True,16,0.6070091724395752,342,"{""full_mul_calls"":17,""full_columns"":342,""fr_mul_calls"":17,""fr_columns"":342,""common"":{""operator_mul_calls"":17,""operator_columns"":342,""scalar_mul_calls"":34,""scalar_columns"":684}}","{""full_mul_calls"":18,""full_columns"":366,""fr_mul_calls"":18,""fr_columns"":366,""common"":{""operator_mul_calls"":18,""operator_columns"":366,""scalar_mul_calls"":36,""scalar_columns"":732}}",1.9756994796949192e-14,8.664396788546718e-11
118,1,24,6,2777,Previous map from this run only,64001,2.232170509527811e-14,3.821861782955833,8e29bcd651c84b81b413483e12ca429b6ae32afe44d443442ad54c1b9b21f3ab,True,True,15,0.5805470943450928,326,"{""full_mul_calls"":16,""full_columns"":326,""fr_mul_calls"":16,""fr_columns"":326,""common"":{""operator_mul_calls"":16,""operator_columns"":326,""scalar_mul_calls"":32,""scalar_columns"":652}}","{""full_mul_calls"":17,""full_columns"":350,""fr_mul_calls"":17,""fr_columns"":350,""common"":{""operator_mul_calls"":17,""operator_columns"":350,""scalar_mul_calls"":34,""scalar_columns"":700}}",1.8059541966354456e-14,9.671748833583931e-11
118,2,24,6,2770,Previous map from this run only,64002,2.584835784792751e-14,3.795335196530091,03f00c20364e82035d80a72b5889cf1ebd5ba4ce0af4e923ca7085b60ffafe89,True,True,16,0.7788329124450684,342,"{""full_mul_calls"":17,""full_columns"":342,""fr_mul_calls"":17,""fr_columns"":342,""common"":{""operator_mul_calls"":17,""operator_columns"":342,""scalar_mul_calls"":34,""scalar_columns"":684}}","{""full_mul_calls"":18,""full_columns"":366,""fr_mul_calls"":18,""fr_columns"":366,""common"":{""operator_mul_calls"":18,""operator_columns"":366,""scalar_mul_calls"":36,""scalar_columns"":732}}",1.9161835200949462e-14,8.726887188317454e-11
118,3,24,6,2770,Previous map from this run only,64003,2.4134149879269128e-14,4.098771332665018,264e8eee4025c334ca2f225db945e3e4ed3d340ab210a5b3bd5855b0edb9344d,True,True,16,0.6065778732299805,341,"{""full_mul_calls"":17,""full_columns"":341,""fr_mul_calls"":17,""fr_columns"":341,""common"":{""operator_mul_calls"":17,""operator_columns"":341,""scalar_mul_calls"":34,""scalar_columns"":682}}","{""full_mul_calls"":18,""full_columns"":365,""fr_mul_calls"":18,""fr_columns"":365,""common"":{""operator_mul_calls"":18,""operator_columns"":365,""scalar_mul_calls"":36,""scalar_columns"":730}}",2.043407347713815e-14,9.557722191901532e-11
119,1,24,6,2777,Previous map from this run only,64001,2.2555262298170497e-14,4.0047240867962675,f3a5ed6b291c8c5d203df476d63e3b0c421f119974a059dcaae8e1d988c69c72,True,True,13,0.7318868637084961,310,"{""full_mul_calls"":14,""full_columns"":310,""fr_mul_calls"":14,""fr_columns"":310,""common"":{""operator_mul_calls"":14,""operator_columns"":310,""scalar_mul_calls"":28,""scalar_columns"":620}}","{""full_mul_calls"":15,""full_columns"":334,""fr_mul_calls"":15,""fr_columns"":334,""common"":{""operator_mul_calls"":15,""operator_columns"":334,""scalar_mul_calls"":30,""scalar_columns"":668}}",1.868780001688273e-14,9.724210555482183e-11
119,2,24,6,2770,Previous map from this run only,64002,2.4617898333131555e-14,3.8695945544410235,c691b4af13fc9df879dc86d6fa424a9b3fe38544d878a54bcee2d29972608dff,True,True,16,0.6017100811004639,339,"{""full_mul_calls"":17,""full_columns"":339,""fr_mul_calls"":17,""fr_columns"":339,""common"":{""operator_mul_calls"":17,""operator_columns"":339,""scalar_mul_calls"":34,""scalar_columns"":678}}","{""full_mul_calls"":18,""full_columns"":363,""fr_mul_calls"":18,""fr_columns"":363,""common"":{""operator_mul_calls"":18,""operator_columns"":363,""scalar_mul_calls"":36,""scalar_columns"":726}}",2.231274930593763e-14,9.741841228752154e-11
119,3,24,6,2770,Previous map from this run only,64003,2.5329344208134913e-14,4.114916025354204,cfa87fd8713ec6d525d3e83f9821fa8dd3b13296bd169081b0cb32a881bb6d63,True,True,16,0.631432056427002,340,"{""full_mul_calls"":17,""full_columns"":340,""fr_mul_calls"":17,""fr_columns"":340,""common"":{""operator_mul_calls"":17,""operator_columns"":340,""scalar_mul_calls"":34,""scalar_columns"":680}}","{""full_mul_calls"":18,""full_columns"":364,""fr_mul_calls"":18,""fr_columns"":364,""common"":{""operator_mul_calls"":18,""operator_columns"":364,""scalar_mul_calls"":36,""scalar_columns"":728}}",1.9224075827033847e-14,8.286898151605346e-11
120,1,24,6,2777,Previous map from this run only,64001,2.0802636992345694e-14,3.685989772256564,250ca5b9a17c002c62ed90b159394d00c7c82c3ac7d9f0e4bd2379d6c382d0ec,True,True,13,0.5531470775604248,310,"{""full_mul_calls"":14,""full_columns"":310,""fr_mul_calls"":14,""fr_columns"":310,""common"":{""operator_mul_calls"":14,""operator_columns"":310,""scalar_mul_calls"":28,""scalar_columns"":620}}","{""full_mul_calls"":15,""full_columns"":334,""fr_mul_calls"":15,""fr_columns"":334,""common"":{""operator_mul_calls"":15,""operator_columns"":334,""scalar_mul_calls"":30,""scalar_columns"":668}}",1.8817277615603732e-14,9.880360638172813e-11
120,2,24,6,2770,Previous map from this run only,64002,2.844572845113053e-14,3.9975113468736585,3018eeb01f816eefe77ea76b41b103bb02ea4bc74409d8fe433416ce8b6a35ab,True,True,16,0.615286111831665,340,"{""full_mul_calls"":17,""full_columns"":340,""fr_mul_calls"":17,""fr_columns"":340,""common"":{""operator_mul_calls"":17,""operator_columns"":340,""scalar_mul_calls"":34,""scalar_columns"":680}}","{""full_mul_calls"":18,""full_columns"":364,""fr_mul_calls"":18,""fr_columns"":364,""common"":{""operator_mul_calls"":18,""operator_columns"":364,""scalar_mul_calls"":36,""scalar_columns"":728}}",2.2406178141400963e-14,8.873791211708818e-11
120,3,24,6,2770,Previous map from this run only,64003,2.4615576685877047e-14,3.989794139137759,a136873233d8f09a23b91d5b7234f438ade695c7bbd4b8efe3722118344ba08f,True,True,16,0.7535440921783447,340,"{""full_mul_calls"":17,""full_columns"":340,""fr_mul_calls"":17,""fr_columns"":340,""common"":{""operator_mul_calls"":17,""operator_columns"":340,""scalar_mul_calls"":34,""scalar_columns"":680}}","{""full_mul_calls"":18,""full_columns"":364,""fr_mul_calls"":18,""fr_columns"":364,""common"":{""operator_mul_calls"":18,""operator_columns"":364,""scalar_mul_calls"":36,""scalar_columns"":728}}",2.200114924012053e-14,9.798230457335442e-11
