pair,left,right,k_index,coordinate_fractional,band_index,left_eigenvalue_ha,right_eigenvalue_ha,left_occupation,right_occupation,group,occupation_classification_matches,raw_difference_ha,raw_difference_ev,raw_difference_mev,raw_difference_uev,global_reference_difference_ha,global_reference_difference_ev,global_reference_difference_mev,global_reference_difference_uev,mg_C_diagnostic_ha
C40_minus_G40,C40,G40,3,"[-0.125,-0.0625,0.1875]",21,0.1565624054251379,0.1565616717766075,0.0,0.0,empty,True,7.336485304265672e-07,1.9963593530233664e-05,0.019963593530233664,19.963593530233663,,,,,
C40_minus_G40,C40,G40,3,"[-0.125,-0.0625,0.1875]",22,0.156562411049509,0.1565616773839848,0.0,0.0,empty,True,7.336655241940715e-07,1.9964055954204998e-05,0.019964055954204998,19.964055954204998,,,,,
C40_minus_G40,C40,G40,3,"[-0.125,-0.0625,0.1875]",23,0.1807384107151384,0.180737663327428,0.0,0.0,empty,True,7.473877104147153e-07,2.0337455663594213e-05,0.020337455663594215,20.337455663594213,,,,,
C40_minus_G40,C40,G40,3,"[-0.125,-0.0625,0.1875]",24,0.1807384179203833,0.1807376705382868,0.0,0.0,empty,True,7.473820965164801e-07,2.0337302901640993e-05,0.020337302901640993,20.337302901640992,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",1,-3.290024812759157,-3.290024812759157,1.0,1.0,occupied,True,0.0,0.0,0.0,0.0,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",2,-3.290024812759153,-3.290024812759157,1.0,1.0,occupied,True,3.9968028886505635e-15,1.0875854715212308e-13,1.0875854715212308e-10,1.0875854715212308e-07,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",3,-1.661482194526161,-1.661482194526152,1.0,1.0,occupied,True,-9.103828801926284e-15,-2.4772780184650254e-13,-2.477278018465025e-10,-2.477278018465025e-07,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",4,-1.66148219452616,-1.661482194526151,1.0,1.0,occupied,True,-8.881784197001252e-15,-2.4168566033805126e-13,-2.4168566033805126e-10,-2.4168566033805124e-07,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",5,-1.652770171047958,-1.652770171047861,1.0,1.0,occupied,True,-9.703349235223868e-14,-2.6404158391932102e-12,-2.64041583919321e-09,-2.64041583919321e-06,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",6,-1.652770171047956,-1.652770171047863,1.0,1.0,occupied,True,-9.303668946358812e-14,-2.5316572920410873e-12,-2.5316572920410872e-09,-2.5316572920410874e-06,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",7,-1.652582860127112,-1.652582860127211,1.0,1.0,occupied,True,9.903189379656396e-14,2.6947951127692717e-12,2.694795112769272e-09,2.6947951127692716e-06,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",8,-1.652582860127112,-1.652582860127212,1.0,1.0,occupied,True,9.992007221626409e-14,2.718963678803077e-12,2.718963678803077e-09,2.718963678803077e-06,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",9,-0.1592118428248981,-0.1592118428248968,1.0,1.0,occupied,True,-1.27675647831893e-15,-3.474231367359487e-14,-3.474231367359487e-11,-3.474231367359487e-08,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",10,-0.1592118428248981,-0.1592118428248964,1.0,1.0,occupied,True,-1.6930901125533637e-15,-4.607132900194103e-14,-4.6071329001941025e-11,-4.607132900194103e-08,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",11,0.06051903453536974,0.06051903453655466,1.786109730909394e-57,1.78610972879293e-57,empty,True,-1.1849202175007179e-12,-3.224332170908385e-11,-3.224332170908385e-08,-3.224332170908385e-05,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",12,0.06051903453536974,0.06051903453655533,1.786109730909394e-57,1.786109728791762e-57,empty,True,-1.185586351315493e-12,-3.22614481336092e-11,-3.22614481336092e-08,-3.22614481336092e-05,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",13,0.06083132204717227,0.06083132204876959,1.307023491708016e-57,1.307023489620307e-57,empty,True,-1.5973194988916362e-12,-4.346527784257713e-11,-4.3465277842577135e-08,-4.346527784257713e-05,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",14,0.06083132204717227,0.06083132204877012,1.307023491708016e-57,1.307023489619564e-57,empty,True,-1.5978468548283331e-12,-4.3479627928659705e-11,-4.3479627928659706e-08,-4.3479627928659707e-05,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",15,0.06100904505326645,0.06100904505050181,1.094206455253724e-57,1.094206458278776e-57,empty,True,2.7646426814520453e-12,7.522975983711622e-11,7.522975983711622e-08,7.522975983711622e-05,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",16,0.06100904505326645,0.06100904505050186,1.094206455253724e-57,1.094206458278714e-57,empty,True,2.764594109194718e-12,7.522843811866124e-11,7.522843811866125e-08,7.522843811866124e-05,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",17,0.06559032020486005,0.06559032020495892,1.120667440179477e-59,1.120667440068698e-59,empty,True,-9.886536034287019e-14,-2.6902635066379333e-12,-2.6902635066379334e-09,-2.6902635066379334e-06,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",18,0.06559032020486005,0.06559032020495906,1.120667440179477e-59,1.12066744006857e-59,empty,True,-9.900413822094833e-14,-2.6940398450807153e-12,-2.6940398450807154e-09,-2.6940398450807154e-06,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",19,0.1027257628310916,0.102725762834677,8.351393333343969e-76,8.351393303400658e-76,empty,True,-3.5854097468757118e-12,-9.756396947233996e-11,-9.756396947233996e-08,-9.756396947233996e-05,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",20,0.1027257628310916,0.102725762834677,8.351393333343969e-76,8.351393303401133e-76,empty,True,-3.5854097468757118e-12,-9.756396947233996e-11,-9.756396947233996e-08,-9.756396947233996e-05,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",21,0.1028721503784294,0.1028721503747403,7.214124524755414e-76,7.214124551368288e-76,empty,True,3.6890906995878936e-12,1.0038527192294244e-10,1.0038527192294244e-07,0.00010038527192294244,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",22,0.1028721503784294,0.1028721503747399,7.214124524755414e-76,7.214124551371364e-76,empty,True,3.68949315543432e-12,1.003962233044265e-10,1.003962233044265e-07,0.0001003962233044265,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",23,0.25397743306927,0.253977433069235,0.0,0.0,empty,True,3.502753642692369e-14,9.531478229581897e-13,9.531478229581897e-10,9.531478229581897e-07,,,,,
D40_minus_C40,D40,C40,1,"[0.0,0.0,0.0]",24,0.2539774330698479,0.253977433069588,0.0,0.0,empty,True,2.5990321006474915e-13,7.0723266356422255e-12,7.072326635642225e-09,7.072326635642226e-06,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",1,-3.289847255160299,-3.2898472551603,1.0,1.0,occupied,True,8.881784197001252e-16,2.4168566033805128e-14,2.416856603380513e-11,2.4168566033805128e-08,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",2,-3.289847255095966,-3.289847255095959,1.0,1.0,occupied,True,-7.105427357601002e-15,-1.9334852827044102e-13,-1.9334852827044103e-10,-1.9334852827044102e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",3,-1.660653685231514,-1.660653685231508,1.0,1.0,occupied,True,-5.995204332975845e-15,-1.6313782072818462e-13,-1.6313782072818462e-10,-1.631378207281846e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",4,-1.660653551607783,-1.660653551607777,1.0,1.0,occupied,True,-5.995204332975845e-15,-1.6313782072818462e-13,-1.6313782072818462e-10,-1.631378207281846e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",5,-1.652561569500316,-1.652561569500306,1.0,1.0,occupied,True,-9.992007221626409e-15,-2.718963678803077e-13,-2.7189636788030767e-10,-2.718963678803077e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",6,-1.652561498277796,-1.652561498277782,1.0,1.0,occupied,True,-1.3988810110276972e-14,-3.8065491503243077e-13,-3.8065491503243075e-10,-3.8065491503243077e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",7,-1.648886232173392,-1.648886232173403,1.0,1.0,occupied,True,1.1102230246251565e-14,3.021070754225641e-13,3.021070754225641e-10,3.0210707542256407e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",8,-1.648886136360737,-1.648886136360748,1.0,1.0,occupied,True,1.1102230246251565e-14,3.021070754225641e-13,3.021070754225641e-10,3.0210707542256407e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",9,-0.152675456780284,-0.1526754567802835,1.0,1.0,occupied,True,-4.996003610813204e-16,-1.3594818394015385e-14,-1.3594818394015385e-11,-1.3594818394015385e-08,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",10,-0.1526754540738834,-0.1526754540738832,1.0,1.0,occupied,True,-1.942890293094024e-16,-5.286873819894872e-15,-5.286873819894872e-12,-5.2868738198948716e-09,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",11,0.01289785856550232,0.01289785856551702,8.580687427386044e-37,8.58068742725996e-37,empty,True,-1.4700046735427463e-14,-4.0000864955168876e-13,-4.0000864955168877e-10,-4.000086495516888e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",12,0.01289789966172143,0.01289789966173457,8.580334800821301e-37,8.580334800708512e-37,empty,True,-1.3140530330524314e-14,-3.575720463009255e-13,-3.5757204630092545e-10,-3.575720463009255e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",13,0.03612563520711246,0.03612563520719088,7.011757047550937e-47,7.011757047001006e-47,empty,True,-7.841644000805559e-14,-2.133820037093998e-12,-2.133820037093998e-09,-2.133820037093998e-06,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",14,0.03612568906869222,0.03612568906877164,7.011379393409991e-47,7.011379392853216e-47,empty,True,-7.941564073021823e-14,-2.1610096738820288e-12,-2.1610096738820287e-09,-2.161009673882029e-06,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",15,0.05633940577636226,0.05633940577630611,1.167072519354081e-55,1.167072519419641e-55,empty,True,5.614952947041729e-14,1.527906533949618e-12,1.5279065339496179e-09,1.5279065339496178e-06,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",16,0.05633945322139858,0.05633945322132376,1.167017148869588e-55,1.167017148956871e-55,empty,True,7.481515407192774e-14,2.0358240545038038e-12,2.035824054503804e-09,2.0358240545038036e-06,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",17,0.1085128386137525,0.108512838613757,2.561320112532975e-78,2.5613201125214e-78,empty,True,-4.5102810375396984e-15,-1.2273099939041665e-13,-1.2273099939041665e-10,-1.2273099939041666e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",18,0.1085128861676186,0.1085128861676239,2.561198314755241e-78,2.561198314741702e-78,empty,True,-5.3013149425851225e-15,-1.4425612851427435e-13,-1.4425612851427436e-10,-1.4425612851427434e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",19,0.1346487519783179,0.1346487519783786,0.0,0.0,empty,True,-6.070144387138043e-14,-1.6517704348728691e-12,-1.6517704348728691e-09,-1.651770434872869e-06,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",20,0.1346487793424302,0.1346487793424848,0.0,0.0,empty,True,-5.459521723594207e-14,-1.485611543390459e-12,-1.485611543390459e-09,-1.485611543390459e-06,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",21,0.1565624054251015,0.1565624054251382,0.0,0.0,empty,True,-3.6692870963861424e-14,-9.984638842715744e-13,-9.984638842715745e-10,-9.984638842715743e-07,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",22,0.1565624110495083,0.1565624110495092,0.0,0.0,empty,True,-8.881784197001252e-16,-2.4168566033805128e-14,-2.416856603380513e-11,-2.4168566033805128e-08,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",23,0.1807384107151914,0.180738410715138,0.0,0.0,empty,True,5.340172748447003e-14,1.4531350327825334e-12,1.4531350327825334e-09,1.4531350327825334e-06,,,,,
D40_minus_C40,D40,C40,2,"[0.125,0.0625,-0.1875]",24,0.1807384179204407,0.1807384179203844,0.0,0.0,empty,True,5.6316062924111066e-14,1.5324381400809564e-12,1.5324381400809565e-09,1.5324381400809565e-06,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",1,-3.289847255160294,-3.289847255160296,1.0,1.0,occupied,True,1.7763568394002505e-15,4.8337132067610256e-14,4.833713206761026e-11,4.8337132067610256e-08,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",2,-3.289847255095959,-3.28984725509596,1.0,1.0,occupied,True,8.881784197001252e-16,2.4168566033805128e-14,2.416856603380513e-11,2.4168566033805128e-08,,,,,
D40_minus_C40,D40,C40,3,"[-0.125,-0.0625,0.1875]",3,-1.66065368523151,-1.660653685231508,1.0,1.0,occupied,True,-1.9984014443252818e-15,-5.437927357606154e-14,-5.437927357606154e-11,-5.437927357606154e-08,,,,,
