k_fractional,band,occupation,before_ha,after_ha,raw_delta_ha,before_gamma_reference_ha,after_gamma_reference_ha,gamma_reference_delta_ha
"[0, 0, -0.5]",8,0.0,0.5001597488417586,0.4991436400915435,-0.0010161087502151278,0.2670465915677879,0.2754467172165864,0.008400125648798495
"[0, -0.5, 0]",1,2.0,-0.122494815842719,-0.1304272049242295,-0.00793238908151049,-0.3556079731166897,-0.35412412779918656,0.0014838453175031185
"[0, -0.5, 0]",2,2.0,-0.02779015214390344,-0.03388917347446663,-0.0060990213305631875,-0.26090330941787415,-0.25758609634942375,0.0033172130684503975
"[0, -0.5, 0]",3,2.0,0.1880324217747538,0.1795925021594377,-0.008439919615316094,-0.0450807354992169,-0.0441044207155194,0.0009763147836975017
"[0, -0.5, 0]",4,2.0,0.1880325245503207,0.179592513791839,-0.00844001075848172,-0.04508063272364998,-0.04410440908311811,0.0009762236405318758
"[0, -0.5, 0]",5,0.0,0.2819160060514299,0.2754742846694982,-0.00644172138193172,0.04880284877745922,0.051777361794541094,0.0029745130170818757
"[0, -0.5, 0]",6,0.0,0.3484484847373795,0.3443739761975475,-0.004074508539831989,0.1153353274634088,0.1206770533225904,0.005341725859181606
"[0, -0.5, 0]",7,0.0,0.3484485934925076,0.3443739785244698,-0.004074614968037793,0.11533543621853692,0.12067705564951273,0.0053416194309758025
"[0, -0.5, 0]",8,0.0,0.5001597288093736,0.4991436362662556,-0.0010160925431180745,0.26704657153540295,0.27544671339129845,0.008400141855895493
"[0, -0.5, -0.5]",1,2.0,-0.05611636614967688,-0.064068038447739,-0.007951672298062124,-0.2892295234236476,-0.28776496132269613,0.001464562100951472
"[0, -0.5, -0.5]",2,2.0,-0.05611604715802647,-0.0640680199221054,-0.007951972764078927,-0.2892292044319972,-0.2877649427970625,0.0014642616349346826
"[0, -0.5, -0.5]",3,2.0,0.1254151463367441,0.1184596714411099,-0.006955474895634209,-0.10769801093722658,-0.1052372514338472,0.0024607595033793866
"[0, -0.5, -0.5]",4,2.0,0.1254152221936579,0.1184596835640273,-0.006955538629630595,-0.1076979350803128,-0.1052372393109298,0.0024606957693830006
"[0, -0.5, -0.5]",5,0.0,0.2483782003703744,0.2452703849096862,-0.003107815460688196,0.015265043096403696,0.021573462034729096,0.0063084189383254
"[0, -0.5, -0.5]",6,0.0,0.2483783204583247,0.2452703940565807,-0.00310792640174401,0.015265163184354003,0.021573471181623588,0.0063083079972695855
"[0, -0.5, -0.5]",7,0.0,0.5970151944780171,0.5898776224066937,-0.007137572071323373,0.3639020372040464,0.3661806995317366,0.002278662327690195
"[0, -0.5, -0.5]",8,0.0,0.5970152524054706,0.5898776317906727,-0.007137620614797946,0.3639020951314999,0.3661807089157155,0.0022786137842156218
"[-0.5, 0, 0]",1,2.0,-0.1224947414626734,-0.1304271977754131,-0.007932456312739686,-0.3556078987366441,-0.3541241206503702,0.0014837780862739236
"[-0.5, 0, 0]",2,2.0,-0.02779030232965982,-0.03388918844152708,-0.00609888611186726,-0.26090345960363054,-0.2575861113164842,0.00331734828714636
"[-0.5, 0, 0]",3,2.0,0.1880324673641359,0.1795925033779242,-0.00843996398621169,-0.0450806899098348,-0.04410441949703289,0.0009762704128019051
"[-0.5, 0, 0]",4,2.0,0.1880325156516519,0.1795925192190342,-0.008439996432617697,-0.045080641622318784,-0.044104403655922886,0.0009762379663958987
"[-0.5, 0, 0]",5,0.0,0.2819160810919802,0.2754742861069124,-0.006441794985067806,0.04880292381800949,0.05177736323195528,0.0029744394139457897
"[-0.5, 0, 0]",6,0.0,0.3484485508495218,0.3443739797784965,-0.0040745710710253236,0.11533539357555112,0.12067705690353939,0.005341663327988272
"[-0.5, 0, 0]",7,0.0,0.3484485998625911,0.3443739890781666,-0.004074610784424504,0.11533544258862038,0.12067706620320948,0.005341623614589092
"[-0.5, 0, 0]",8,0.0,0.5001598113436379,0.4991436371985602,-0.001016174145077653,0.26704665406966716,0.2754467143236031,0.00840006025393597
"[-0.5, 0, -0.5]",1,2.0,-0.05611633269483131,-0.06406803671242037,-0.007951704017589059,-0.289229489968802,-0.28776495958737747,0.0014645303814245225
"[-0.5, 0, -0.5]",2,2.0,-0.05611608086592203,-0.06406802186096949,-0.007951940995047466,-0.2892292381398927,-0.2877649447359266,0.0014642934039660882
"[-0.5, 0, -0.5]",3,2.0,0.1254151347483322,0.1184596767796551,-0.006955457968677109,-0.10769802252563848,-0.105237246095302,0.0024607764303364865
"[-0.5, 0, -0.5]",4,2.0,0.1254152339509444,0.1184596795295931,-0.00695555442135129,-0.1076979233230263,-0.105237243345364,0.0024606799776623056
"[-0.5, 0, -0.5]",5,0.0,0.2483782247738721,0.2452703864547727,-0.003107838319099415,0.015265067499901419,0.0215734635798156,0.00630839607991418
"[-0.5, 0, -0.5]",6,0.0,0.2483782981052343,0.2452703907817852,-0.003107907323449094,0.015265140831263596,0.021573467906828098,0.0063083270755645016
"[-0.5, 0, -0.5]",7,0.0,0.5970152062967591,0.5898776261745194,-0.0071375801222396396,0.3639020490227884,0.3661807032995623,0.002278654276773928
"[-0.5, 0, -0.5]",8,0.0,0.5970152524512895,0.5898776297879794,-0.007137622663310084,0.3639020951773188,0.3661807069130223,0.002278611735703484
"[-0.5, -0.5, 0]",1,2.0,-0.05611631410138498,-0.06406803635419975,-0.00795172225281477,-0.28922947137535565,-0.28776495922915685,0.0014645121461988042
"[-0.5, -0.5, 0]",2,2.0,-0.05611609813188756,-0.06406802200029749,-0.007951923868409927,-0.28922925540585825,-0.2877649448752546,0.0014643105306036408
"[-0.5, -0.5, 0]",3,2.0,0.1254151515844284,0.1184596744620941,-0.006955477122334297,-0.1076980056895423,-0.105237248412863,0.0024607572766792984
