k_fractional,band,occupation,before_ha,after_ha,raw_delta_ha,before_gamma_reference_ha,after_gamma_reference_ha,gamma_reference_delta_ha
"[0, 0, -0.5]",5,0.0,0.2819177661953516,0.2819169115982456,-8.545971059703561e-07,0.048803263897640975,0.048802932033884305,-3.3186375666960366e-07
"[0, 0, -0.5]",6,0.0,0.3484490935387687,0.3484488784205795,-2.151181892062759e-07,0.11533459124105808,0.11533489885621817,3.0761516009447654e-07
"[0, 0, -0.5]",7,0.0,0.3484492865854143,0.3484490319642229,-2.5462119140895467e-07,0.11533478428770369,0.11533505239986158,2.6811215789179776e-07
"[0, 0, -0.5]",8,0.0,0.5001596028613016,0.5001598673736054,2.6451230383806035e-07,0.267045100563591,0.2670458878092441,7.872456531110572e-07
"[0, -0.5, 0]",1,2.0,-0.1224932693591674,-0.122494084702385,-8.153432175944664e-07,-0.355607771656878,-0.3556080642667463,-2.9260986827983615e-07
"[0, -0.5, 0]",2,2.0,-0.02778833373600004,-0.0277893522891409,-1.0185531408579696e-06,-0.26090283603371067,-0.26090333185350223,-4.958197915572171e-07
"[0, -0.5, 0]",3,2.0,0.1880337134621261,0.1880332526119998,-4.608501263103637e-07,-0.0450807888355845,-0.04508072695236151,6.188322299038873e-08
"[0, -0.5, 0]",4,2.0,0.1880337638843629,0.1880333390581639,-4.248261989969748e-07,-0.0450807384133477,-0.045080640506197395,9.790715030377761e-08
"[0, -0.5, 0]",5,0.0,0.2819176788847396,0.2819168397447402,-8.391399994311932e-07,0.04880317658702901,0.04880286018037888,-3.164066501304408e-07
"[0, -0.5, 0]",6,0.0,0.3484491090815623,0.348448878413314,-2.306682482799971e-07,0.11533460678385168,0.1153348988489527,2.9206510102075534e-07
"[0, -0.5, 0]",7,0.0,0.3484491449925132,0.3484489850348851,-1.5995762814302594e-07,0.11533464269480262,0.11533500547052378,3.627757211577265e-07
"[0, -0.5, 0]",8,0.0,0.5001595292359036,0.5001597985932129,2.6935730934596336e-07,0.267045026938193,0.2670458190288516,7.920906586189602e-07
"[0, -0.5, -0.5]",1,2.0,-0.05611457012488241,-0.05611541968684874,-8.495619663248521e-07,-0.289229072422593,-0.28922939925121005,-3.268286170587942e-07
"[0, -0.5, -0.5]",2,2.0,-0.05611437098868781,-0.05611529826189712,-9.272732093140723e-07,-0.2892288732863984,-0.2892292778262584,-4.045398599994421e-07
"[0, -0.5, -0.5]",3,2.0,0.1254165899969537,0.1254158945272,-6.954697537031596e-07,-0.1076979123007569,-0.1076980850371613,-1.7273640440240712e-07
"[0, -0.5, -0.5]",4,2.0,0.1254166715880065,0.1254159318867731,-7.397012334042774e-07,-0.1076978307097041,-0.1076980476775882,-2.1696788410352497e-07
"[0, -0.5, -0.5]",5,0.0,0.2483785830254679,0.2483785549024295,-2.8123038398053524e-08,0.015264080727757284,0.015264575338068187,4.946103109026989e-07
"[0, -0.5, -0.5]",6,0.0,0.2483787087450408,0.2483786407545891,-6.799045171312912e-08,0.015264206447330203,0.01526466119022779,4.547428975876233e-07
"[0, -0.5, -0.5]",7,0.0,0.5970199744174396,0.5970165158557901,-3.4585616495164118e-06,0.363905472119729,0.36390253629142877,-2.935828300243415e-06
"[0, -0.5, -0.5]",8,0.0,0.5970200180857932,0.5970165506254022,-3.4674603910378465e-06,0.3639055157880826,0.36390257106104085,-2.9447270417648497e-06
"[-0.5, 0, 0]",1,2.0,-0.1224931289961177,-0.1224939763242766,-8.47328158901095e-07,-0.35560763129382833,-0.3556079558886379,-3.245948095864648e-07
"[-0.5, 0, 0]",2,2.0,-0.02778862394432926,-0.02778957533605234,-9.513917230800917e-07,-0.2609031262420399,-0.26090355490041367,-4.286583737966865e-07
"[-0.5, 0, 0]",3,2.0,0.188033705036653,0.1880332843533423,-4.2068331071454246e-07,-0.0450807972610576,-0.04508069521101901,1.0205003858620998e-07
"[-0.5, 0, 0]",4,2.0,0.1880338886508334,0.1880333871644165,-5.01486416892849e-07,-0.04508061364687721,-0.0450805923999448,2.124693240790343e-08
"[-0.5, 0, 0]",5,0.0,0.2819177797693634,0.2819169475965957,-8.321727676952051e-07,0.04880327747165278,0.048802968032234384,-3.0943941839445266e-07
"[-0.5, 0, 0]",6,0.0,0.3484491153370843,0.3484489176230002,-1.9771408410473867e-07,0.11533461303937367,0.11533493805863887,3.2501926519601376e-07
"[-0.5, 0, 0]",7,0.0,0.3484492908107634,0.3484490206590079,-2.7015175552147497e-07,0.11533478851305282,0.1153350410946466,2.5258159377927747e-07
"[-0.5, 0, 0]",8,0.0,0.5001596176503089,0.5001599027522428,2.8510193383901594e-07,0.26704511535259834,0.26704592318788145,8.078352831120128e-07
"[-0.5, 0, -0.5]",1,2.0,-0.05611457845440804,-0.05611547084317127,-8.923887632322769e-07,-0.2892290807521186,-0.28922945040753256,-3.6965541394540224e-07
"[-0.5, 0, -0.5]",2,2.0,-0.05611436253143211,-0.0561152494636715,-8.869322393953438e-07,-0.28922886482914273,-0.28922922902803283,-3.641988901015303e-07
"[-0.5, 0, -0.5]",3,2.0,0.1254165841879552,0.1254158839952137,-7.001927415095643e-07,-0.1076979181097554,-0.10769809556914761,-1.774593922088119e-07
"[-0.5, 0, -0.5]",4,2.0,0.1254166765953002,0.1254159587410115,-7.178542887065209e-07,-0.1076978257024104,-0.10769802082334981,-1.9512093940576847e-07
"[-0.5, 0, -0.5]",5,0.0,0.2483785787333276,0.2483785169715019,-6.176182570927224e-08,0.015264076435617002,0.015264537407140594,4.609715235914802e-07
"[-0.5, 0, -0.5]",6,0.0,0.2483787139914746,0.2483786566005807,-5.739089389833474e-08,0.01526421169376399,0.015264677036219393,4.653424554024177e-07
