kpoint_index,k_fractional,band,occupation,dftk_ha,qe_ha,delta_ha,dftk_global_reference_ha,qe_global_reference_ha,global_reference_delta_ha,independent_C_residual_ha
2,"[0, 0, 0.25]",3,2.0,0.14626336968691012,0.1956665936126253,-0.049403223925715195,-0.028030315335139167,-0.028030329262331788,1.3927192621387974e-08,-4.912702793180568e-07
2,"[0, 0, 0.25]",4,2.0,0.14626336968692058,0.1956666100342215,-0.049403240347300925,-0.028030315335128703,-0.028030312840735594,-2.494393108731785e-09,-5.076918650481765e-07
2,"[0, 0, 0.25]",5,0.0,0.2444496715195783,0.2938529326779676,-0.04940326115838928,0.07015598649752902,0.07015600980301048,-2.3305481461344257e-08,-5.28502953400789e-07
2,"[0, 0, 0.25]",6,0.0,0.30128095352197076,0.3506842113644629,-0.049403257842492165,0.12698726849992148,0.12698728848950583,-1.9989584348900635e-08,-5.251870562883454e-07
2,"[0, 0, 0.25]",7,0.0,0.3012809535219793,0.3506842170842046,-0.0494032635622253,0.12698726849993003,0.1269872942092475,-2.5709317480471228e-08,-5.30906789419916e-07
2,"[0, 0, 0.25]",8,0.0,0.42218359041655223,0.4715868376523498,-0.04940324723579759,0.24788990539450295,0.24788991477739272,-9.382889770703784e-09,-5.145803617101485e-07
3,"[0, 0, -0.5]",1,2.0,-0.17983044328172393,-0.13042720100508,-0.049403242276643916,-0.3541241283037732,-0.3541241238800371,-4.42373609965685e-09,-5.096212080391016e-07
3,"[0, 0, -0.5]",2,2.0,-0.08329243350469209,-0.0338891814931755,-0.049403252011516595,-0.2575861185267414,-0.2575861043681326,-1.415860878539732e-08,-5.193560807179032e-07
3,"[0, 0, -0.5]",3,2.0,0.13018927545027711,0.1795925005702286,-0.04940322511995149,-0.04410440957177217,-0.0441044223047285,1.2732956328198597e-08,-4.924645156112462e-07
3,"[0, 0, -0.5]",4,2.0,0.13018927545028866,0.1795925171676319,-0.04940324171734323,-0.04410440957176062,-0.04410440570732521,-3.864435410561029e-09,-5.090619073500058e-07
3,"[0, 0, -0.5]",5,0.0,0.22607102881999735,0.2754742887641711,-0.04940325994417377,0.05177734379794807,0.05177736588921403,-2.209126595542621e-08,-5.27288737894871e-07
3,"[0, 0, -0.5]",6,0.0,0.2949707131543666,0.3443739750635309,-0.049403261909164276,0.12067702813231734,0.1206770521885738,-2.4056256459070724e-08,-5.292537283985155e-07
3,"[0, 0, -0.5]",7,0.0,0.29497071315437284,0.3443739846822636,-0.04940327152789076,0.12067702813232356,0.1206770618073065,-3.367498294104543e-08,-5.388724548804902e-07
3,"[0, 0, -0.5]",8,0.0,0.44974037920078197,0.4991436400915435,-0.049403260890761524,0.2754466941787327,0.2754467172165864,-2.30378537358078e-08,-5.28235325647497e-07
4,"[0, 0, -0.25]",1,2.0,-0.23643877387469378,-0.1870355273047099,-0.04940324656998388,-0.41073245889674304,-0.410732450179667,-8.717076060982265e-09,-5.13914548000427e-07
4,"[0, 0, -0.25]",2,2.0,0.02890642675894142,0.07830967216928124,-0.049403245410339816,-0.14538725826310786,-0.14538725070567587,-7.557431985771856e-09,-5.127549039390944e-07
