map_index,k_index,target_states,auxiliary_states,ng,initial_source,initial_seed,initial_gram_norm,initial_imaginary_norm,initial_sha256,initial_unchanged,converged,iterations,elapsed_seconds,solver_n_matvec,operator_counts,counts_after_explicit_residual,orthogonality_frobenius,max_explicit_residual_ha
165,1,24,6,2777,Previous map from this run only,63001,1.8426550973517466e-14,3.8921102117221436,b9847069cffb10d017e5f75c682043da68a64ac822e5b9b6e7ea57fb3fb65fc9,True,True,7,0.3598010540008545,192,"{""full_mul_calls"":8,""full_columns"":192,""fr_mul_calls"":8,""fr_columns"":192,""common"":{""operator_mul_calls"":8,""operator_columns"":192,""scalar_mul_calls"":16,""scalar_columns"":384}}","{""full_mul_calls"":9,""full_columns"":216,""fr_mul_calls"":9,""fr_columns"":216,""common"":{""operator_mul_calls"":9,""operator_columns"":216,""scalar_mul_calls"":18,""scalar_columns"":432}}",1.4483824910808238e-14,8.613193135033495e-11
165,2,24,6,2770,Previous map from this run only,63002,1.7916486112423075e-14,4.02496387591241,81e27eb8badbabb20cd691fe3e8d1114f85b9270d9fae011fe11e2420c92ddf5,True,True,11,0.5197498798370361,222,"{""full_mul_calls"":12,""full_columns"":222,""fr_mul_calls"":12,""fr_columns"":222,""common"":{""operator_mul_calls"":12,""operator_columns"":222,""scalar_mul_calls"":24,""scalar_columns"":444}}","{""full_mul_calls"":13,""full_columns"":246,""fr_mul_calls"":13,""fr_columns"":246,""common"":{""operator_mul_calls"":13,""operator_columns"":246,""scalar_mul_calls"":26,""scalar_columns"":492}}",1.8752204550582474e-14,9.476167067584361e-11
165,3,24,6,2770,Previous map from this run only,63003,1.9331915280655288e-14,3.6388108508966224,8518cbf5d13f7d5fa8764d7b74fbe28c9fbac0b762eadc76d51d84d1dbb5c8ff,True,True,11,0.3738880157470703,222,"{""full_mul_calls"":12,""full_columns"":222,""fr_mul_calls"":12,""fr_columns"":222,""common"":{""operator_mul_calls"":12,""operator_columns"":222,""scalar_mul_calls"":24,""scalar_columns"":444}}","{""full_mul_calls"":13,""full_columns"":246,""fr_mul_calls"":13,""fr_columns"":246,""common"":{""operator_mul_calls"":13,""operator_columns"":246,""scalar_mul_calls"":26,""scalar_columns"":492}}",1.5566184477334202e-14,9.59518889790405e-11
166,1,24,6,2777,Previous map from this run only,63001,1.687101162122443e-14,3.849013615989166,f493cd6fcec88d8ceb76c027245a6f4fc4bf7623efb768483179d6de449da778,True,True,7,0.3889799118041992,192,"{""full_mul_calls"":8,""full_columns"":192,""fr_mul_calls"":8,""fr_columns"":192,""common"":{""operator_mul_calls"":8,""operator_columns"":192,""scalar_mul_calls"":16,""scalar_columns"":384}}","{""full_mul_calls"":9,""full_columns"":216,""fr_mul_calls"":9,""fr_columns"":216,""common"":{""operator_mul_calls"":9,""operator_columns"":216,""scalar_mul_calls"":18,""scalar_columns"":432}}",1.5764150630890715e-14,6.82291582848939e-11
166,2,24,6,2770,Previous map from this run only,63002,2.2183341874638208e-14,3.830024095028845,74ebc573517bd6bef4ee3808d86033abc1dab40f0ee2fb53d44cf60753e7f83c,True,True,11,0.5101039409637451,218,"{""full_mul_calls"":12,""full_columns"":218,""fr_mul_calls"":12,""fr_columns"":218,""common"":{""operator_mul_calls"":12,""operator_columns"":218,""scalar_mul_calls"":24,""scalar_columns"":436}}","{""full_mul_calls"":13,""full_columns"":242,""fr_mul_calls"":13,""fr_columns"":242,""common"":{""operator_mul_calls"":13,""operator_columns"":242,""scalar_mul_calls"":26,""scalar_columns"":484}}",1.4216201208686555e-14,9.352655740673714e-11
166,3,24,6,2770,Previous map from this run only,63003,1.8329028415961847e-14,3.44668971070065,f03df0c577bae389033da24a64b5419bb4d7e3a079892e25315924750e26bb03,True,True,11,0.3648979663848877,218,"{""full_mul_calls"":12,""full_columns"":218,""fr_mul_calls"":12,""fr_columns"":218,""common"":{""operator_mul_calls"":12,""operator_columns"":218,""scalar_mul_calls"":24,""scalar_columns"":436}}","{""full_mul_calls"":13,""full_columns"":242,""fr_mul_calls"":13,""fr_columns"":242,""common"":{""operator_mul_calls"":13,""operator_columns"":242,""scalar_mul_calls"":26,""scalar_columns"":484}}",1.673240715979465e-14,9.217322268123148e-11
167,1,24,6,2777,Previous map from this run only,63001,1.7601910258181845e-14,3.9547082310076336,05afb7f99b898649b1749cfeb9408d6ca5957bd82d425a3fabc0a25394c4640e,True,True,7,0.3359520435333252,184,"{""full_mul_calls"":8,""full_columns"":184,""fr_mul_calls"":8,""fr_columns"":184,""common"":{""operator_mul_calls"":8,""operator_columns"":184,""scalar_mul_calls"":16,""scalar_columns"":368}}","{""full_mul_calls"":9,""full_columns"":208,""fr_mul_calls"":9,""fr_columns"":208,""common"":{""operator_mul_calls"":9,""operator_columns"":208,""scalar_mul_calls"":18,""scalar_columns"":416}}",1.091689622947347e-14,9.7697650239063e-11
167,2,24,6,2770,Previous map from this run only,63002,1.6640498261728805e-14,3.8003960120367037,3a684d3bd1d9893d341a0008f9eb0949f21d4c577e053c0bd3d27d7091155b10,True,True,11,0.5109310150146484,218,"{""full_mul_calls"":12,""full_columns"":218,""fr_mul_calls"":12,""fr_columns"":218,""common"":{""operator_mul_calls"":12,""operator_columns"":218,""scalar_mul_calls"":24,""scalar_columns"":436}}","{""full_mul_calls"":13,""full_columns"":242,""fr_mul_calls"":13,""fr_columns"":242,""common"":{""operator_mul_calls"":13,""operator_columns"":242,""scalar_mul_calls"":26,""scalar_columns"":484}}",1.360959948326262e-14,8.805018625989783e-11
167,3,24,6,2770,Previous map from this run only,63003,2.0063362978433492e-14,3.503694471496667,392ff39d0503c52fa9f0c74bc2bf8edf3e5ca3f00868b57c8b99271f63d98874,True,True,11,0.3640620708465576,218,"{""full_mul_calls"":12,""full_columns"":218,""fr_mul_calls"":12,""fr_columns"":218,""common"":{""operator_mul_calls"":12,""operator_columns"":218,""scalar_mul_calls"":24,""scalar_columns"":436}}","{""full_mul_calls"":13,""full_columns"":242,""fr_mul_calls"":13,""fr_columns"":242,""common"":{""operator_mul_calls"":13,""operator_columns"":242,""scalar_mul_calls"":26,""scalar_columns"":484}}",1.5809883545577994e-14,8.670678257330448e-11
168,1,24,6,2777,Previous map from this run only,63001,1.4554393949053674e-14,3.993211512498915,e30642633542b1e1d52b4ce51dadf4e77997f3764a1f0bc4f687817f85cae91f,True,True,7,0.3350658416748047,184,"{""full_mul_calls"":8,""full_columns"":184,""fr_mul_calls"":8,""fr_columns"":184,""common"":{""operator_mul_calls"":8,""operator_columns"":184,""scalar_mul_calls"":16,""scalar_columns"":368}}","{""full_mul_calls"":9,""full_columns"":208,""fr_mul_calls"":9,""fr_columns"":208,""common"":{""operator_mul_calls"":9,""operator_columns"":208,""scalar_mul_calls"":18,""scalar_columns"":416}}",1.62850719560447e-14,6.705847156338233e-11
