reference,k_index,coordinate_fractional,band_index,reference_eigenvalue_ha,qe_eigenvalue_ha,reference_occupation,qe_occupation,reference_group,occupation_classification_matches,raw_difference_ha,raw_difference_ev,global_reference_difference_ha,global_reference_difference_ev
B,1,"[0.0,0.0,0.0]",19,0.09354014131029723,0.102721262246463,1.0824498273205532e-75,8.355018094299786e-76,empty,True,-0.00918112093616577,-0.24983102796506945,7.5240801676867974e-06,0.00020474065158865095
B,1,"[0.0,0.0,0.0]",20,0.09354014131029759,0.102721262246481,1.082449827320184e-75,8.355018094148996e-76,empty,True,-0.00918112093618341,-0.24983102796554943,7.524080150034251e-06,0.00020474065110830068
B,1,"[0.0,0.0,0.0]",21,0.09368651173632925,0.1028746780713892,9.350609215227756e-76,7.166708637215161e-76,empty,True,-0.00918816633505995,-0.250022743035636,4.786812735635415e-07,1.3025581023655622e-05
B,1,"[0.0,0.0,0.0]",22,0.09368651173633004,0.1028746780714127,9.350609215220314e-76,7.166708637046506e-76,empty,True,-0.009188166335082668,-0.25002274303625416,4.786812508594807e-07,1.3025580405846653e-05
B,1,"[0.0,0.0,0.0]",23,0.2447916347905861,0.2539729726592948,2.2218706767542748e-141,0.0,empty,True,-0.0091813378687087,-0.24983693100028442,7.307147624757704e-06,0.0001988376163736845
B,1,"[0.0,0.0,0.0]",24,0.2447916347905864,0.2539729727649595,2.221870676753517e-141,0.0,empty,True,-0.009181337974373094,-0.24983693387555905,7.307041960391558e-06,0.0001988347410998049
B,2,"[0.125,0.0625,-0.1875]",1,-3.2990329996764296,-3.289853169577079,1.0,1.0,occupied,True,-0.009179830099350639,-0.24979590250591238,8.814916982569088e-06,0.0002398661107389448
B,2,"[0.125,0.0625,-0.1875]",2,-3.2990329996122,-3.289853169487347,1.0,1.0,occupied,True,-0.009179830124852906,-0.24979590319986442,8.814891480302123e-06,0.00023986541678690828
B,2,"[0.125,0.0625,-0.1875]",3,-1.6698394183220604,-1.660668305506525,1.0,1.0,occupied,True,-0.009171112815535398,-0.24955869312900003,1.753220079803164e-05,0.00047707548765733523
B,2,"[0.125,0.0625,-0.1875]",4,-1.6698392843970074,-1.660667837996385,1.0,1.0,occupied,True,-0.009171446400622285,-0.2495677704416452,1.7198615711144782e-05,0.0004679981750121579
B,2,"[0.125,0.0625,-0.1875]",5,-1.6617473024400644,-1.652578634576126,1.0,1.0,occupied,True,-0.00916866786393844,-0.24949216260674245,1.9977152394989872e-05,0.0005436060099148939
B,2,"[0.125,0.0625,-0.1875]",6,-1.661747231030168,-1.652578307101512,1.0,1.0,occupied,True,-0.00916892392865587,-0.24949913048267242,1.972108767755998e-05,0.000536638133984941
B,2,"[0.125,0.0625,-0.1875]",7,-1.6580719649957434,-1.648907956083684,1.0,1.0,occupied,True,-0.009164008912059485,-0.24936538606766276,2.4636104273945136e-05,0.0006703825489945845
B,2,"[0.125,0.0625,-0.1875]",8,-1.658071868910734,-1.648907325718074,1.0,1.0,occupied,True,-0.009164543192660135,-0.2493799245834508,2.410182367329483e-05,0.0006558440332065542
B,2,"[0.125,0.0625,-0.1875]",9,-0.16186113476038724,-0.1526724901708458,1.0,1.0,occupied,True,-0.00918864458954144,-0.25003575700305564,4.2679204614870514e-10,1.1613603214464963e-08
B,2,"[0.125,0.0625,-0.1875]",10,-0.1618611320535129,-0.1526724870371794,1.0,1.0,occupied,True,-0.009188645016333513,-0.2500357686166596,-2.7755575615628914e-17,-7.552676885564102e-16
B,2,"[0.125,0.0625,-0.1875]",11,0.0037121043868500836,0.01289852182662241,1.1123168892784282e-36,8.540197387322214e-37,empty,True,-0.009186417439772327,-0.24997515317046068,2.227576561153466e-06,6.0615446198041075e-05
B,2,"[0.125,0.0625,-0.1875]",12,0.0037121454488653204,0.01289860859435659,1.1122712162431022e-36,8.539456405892739e-37,empty,True,-0.00918646314549127,-0.24997639688643253,2.181870842221656e-06,5.937173022653735e-05
B,2,"[0.125,0.0625,-0.1875]",13,0.02693991012927529,0.03612597188764144,9.089095589305052e-47,6.980949853815035e-47,empty,True,-0.00918606175836615,-0.2499654745863367,2.5832579673423783e-06,7.029403032236123e-05
B,2,"[0.125,0.0625,-0.1875]",14,0.026939963896460875,0.03612605507521754,9.088606907353423e-47,6.980369149671773e-47,empty,True,-0.009186091178756663,-0.24996627515594644,2.5538375768296984e-06,6.94934607126131e-05
B,2,"[0.125,0.0625,-0.1875]",15,0.04715369760356394,0.05633573850648056,1.512809741578477e-55,1.166606509063132e-55,empty,True,-0.009182040902916619,-0.24985606153566026,6.6041134168526305e-06,0.00017970708099824224
B,2,"[0.125,0.0625,-0.1875]",16,0.047153744898658256,0.05633580210571738,1.512738194791003e-55,1.166532316138813e-55,empty,True,-0.00918205720705912,-0.24985650519397926,6.587809274372081e-06,0.00017926342267979452
B,2,"[0.125,0.0625,-0.1875]",17,0.09932708162513436,0.1085136426297656,3.3202556901550954e-78,2.548875114859466e-78,empty,True,-0.009186561004631236,-0.2499790597692878,2.0840117022635773e-06,5.670884737143856e-05
B,2,"[0.125,0.0625,-0.1875]",18,0.09932712922988512,0.1085136677723565,3.320097633972548e-78,2.54881103034108e-78,empty,True,-0.009186538542471381,-0.2499784485427801,2.106473862062419e-06,5.732007387764379e-05
B,2,"[0.125,0.0625,-0.1875]",19,0.12546308681829366,0.1346439629149658,1.4806373320498128e-89,0.0,empty,True,-0.009180876096672147,-0.2498243655430402,7.76891966136617e-06,0.00021140307361943074
B,2,"[0.125,0.0625,-0.1875]",20,0.12546311410941113,0.1346439960287215,1.4805969243538324e-89,0.0,empty,True,-0.00918088191931038,-0.2498245239850981,7.763097023105736e-06,0.0002112446315607555
B,2,"[0.125,0.0625,-0.1875]",21,0.1473767408331712,0.1565643998712954,4.5026654331735445e-99,0.0,empty,True,-0.009187659038124185,-0.25000893878277547,9.859782093002423e-07,2.682983388338959e-05
B,2,"[0.125,0.0625,-0.1875]",22,0.14737674642775125,0.1565644464530587,4.5026402427218255e-99,0.0,empty,True,-0.009187700025307444,-0.25001005410085025,9.449910260417305e-07,2.5714515808607416e-05
B,2,"[0.125,0.0625,-0.1875]",23,0.17155259744008075,0.1807379133750102,1.425701342669377e-109,0.0,empty,True,-0.009185315934929439,-0.24994517969672905,3.32908140404653e-06,9.058891992982286e-05
B,2,"[0.125,0.0625,-0.1875]",24,0.17155260460548016,0.1807379226880313,1.425691126986377e-109,0.0,empty,True,-0.00918531808255113,-0.24994523813649241,3.326933782354935e-06,9.053048016646262e-05
B,3,"[-0.125,-0.0625,0.1875]",1,-3.2990329996764305,-3.28985316957709,1.0,1.0,occupied,True,-0.009179830099340425,-0.24979590250563444,8.81491699278314e-06,0.00023986611101688333
B,3,"[-0.125,-0.0625,0.1875]",2,-3.2990329996121917,-3.289853169487353,1.0,1.0,occupied,True,-0.009179830124838695,-0.2497959031994777,8.814891494512977e-06,0.00023986541717360533
B,3,"[-0.125,-0.0625,0.1875]",3,-1.6698394183220608,-1.660668305506527,1.0,1.0,occupied,True,-0.009171112815533844,-0.24955869312895773,1.753220079958595e-05,0.00047707548769963023
B,3,"[-0.125,-0.0625,0.1875]",4,-1.6698392843970074,-1.660667837996386,1.0,1.0,occupied,True,-0.009171446400621397,-0.24956777044162104,1.719861571203296e-05,0.00046799817503632643
B,3,"[-0.125,-0.0625,0.1875]",5,-1.6617473024400644,-1.652578634576124,1.0,1.0,occupied,True,-0.009168667863940438,-0.24949216260679685,1.997715239299147e-05,0.0005436060098605145
B,3,"[-0.125,-0.0625,0.1875]",6,-1.6617472310301666,-1.652578307101513,1.0,1.0,occupied,True,-0.00916892392865365,-0.249499130482612,1.9721087679780425e-05,0.0005366381340453624
B,3,"[-0.125,-0.0625,0.1875]",7,-1.6580719649957438,-1.648907956083682,1.0,1.0,occupied,True,-0.009164008912061927,-0.24936538606772923,2.4636104271502646e-05,0.0006703825489281208
B,3,"[-0.125,-0.0625,0.1875]",8,-1.6580718689107352,-1.648907325718074,1.0,1.0,occupied,True,-0.009164543192661245,-0.24937992458348102,2.4101823672184608e-05,0.0006558440331763436
B,3,"[-0.125,-0.0625,0.1875]",9,-0.16186113476038647,-0.1526724901708457,1.0,1.0,occupied,True,-0.009188644589540773,-0.25003575700303754,4.267927122825199e-10,1.1613621340889489e-08
