reference,k_index,coordinate_fractional,band_index,reference_eigenvalue_ha,qe_eigenvalue_ha,reference_occupation,qe_occupation,reference_group,occupation_classification_matches,raw_difference_ha,raw_difference_ev,global_reference_difference_ha,global_reference_difference_ev
B,2,"[0.125,0.0625,-0.1875]",8,-1.658071868910734,-1.648906902270173,1.0,1.0,occupied,True,-0.0091649666405611,-0.24939144718783904,2.357267607933089e-05,0.0006414451936460699
B,2,"[0.125,0.0625,-0.1875]",9,-0.16186113476038724,-0.1526725958691947,1.0,1.0,occupied,True,-0.009188538891192533,-0.250032880804458,4.254479546439427e-10,1.157702862137893e-08
B,2,"[0.125,0.0625,-0.1875]",10,-0.1618611320535129,-0.1526725927368726,1.0,1.0,occupied,True,-0.00918853931664032,-0.2500328923814821,1.6653345369377348e-16,4.531606131338461e-15
B,2,"[0.125,0.0625,-0.1875]",11,0.0037121043868500836,0.01289820562772221,1.1123168892784282e-36,8.542898215320564e-37,empty,True,-0.009186101240872126,-0.24996654896005677,2.4380757683573062e-06,6.634342142973755e-05
B,2,"[0.125,0.0625,-0.1875]",12,0.0037121454488653204,0.01289829239173022,1.1122712162431022e-36,8.542157031385829e-37,empty,True,-0.0091861469428649,-0.24996779257463436,2.3923737756115226e-06,6.509980685292102e-05
B,2,"[0.125,0.0625,-0.1875]",13,0.02693991012927529,0.03612581539162541,9.089095589305052e-47,6.98204243014487e-47,empty,True,-0.009185905262350122,-0.2499612161127986,2.6340542903791064e-06,7.167626868838926e-05
B,2,"[0.125,0.0625,-0.1875]",14,0.026939963896460875,0.03612589859275389,9.088606907353423e-47,6.981461540501289e-47,empty,True,-0.009185934696293016,-0.24996201705118742,2.604620347484987e-06,7.087533029955523e-05
B,2,"[0.125,0.0625,-0.1875]",15,0.04715369760356394,0.05633561752725136,1.512809741578477e-55,1.166747652756911e-55,empty,True,-0.009181919923687415,-0.24985276952312663,6.619392953072234e-06,0.00018012285835997333
B,2,"[0.125,0.0625,-0.1875]",16,0.047153744898658256,0.05633568113880198,1.512738194791003e-55,1.16667343649009e-55,empty,True,-0.009181936240143726,-0.24985321351652148,6.603076496775051e-06,0.00017967886496550502
B,2,"[0.125,0.0625,-0.1875]",17,0.09932708162513436,0.1085132829220952,3.3202556901550954e-78,2.549792129707954e-78,empty,True,-0.009186201296960836,-0.2499692716249329,2.3380196796374264e-06,6.362075655331876e-05
B,2,"[0.125,0.0625,-0.1875]",18,0.09932712922988512,0.1085133080430931,3.320097633972548e-78,2.549728077189779e-78,empty,True,-0.009186178813207976,-0.2499686598108496,2.360503432496941e-06,6.423257063663819e-05
