kpoint_index,k_fractional,band,occupation,dftk_ha,qe_ha,delta_ha,dftk_global_reference_ha,qe_global_reference_ha,global_reference_delta_ha
5,"[-0.5, 0, 0]",3,2.0,0.13863066694913326,0.188033705036653,-0.04940303808751975,-0.045080562323041834,-0.0450807972610576,2.3493801576401907e-07
5,"[-0.5, 0, 0]",4,2.0,0.1386306669492298,0.1880338886508334,-0.049403221701603606,-0.0450805623229453,-0.04508061364687721,5.132393190998563e-08
5,"[-0.5, 0, 0]",5,0.0,0.2325145512720864,0.2819177797693634,-0.04940322849727699,0.0488033219999113,0.04880327747165278,4.452825852485631e-08
5,"[-0.5, 0, 0]",6,0.0,0.2990459428527507,0.3484491153370843,-0.04940317248433357,0.11533471358057562,0.11533461303937367,1.0054120194724625e-07
5,"[-0.5, 0, 0]",7,0.0,0.2990459428528126,0.3484492908107634,-0.049403347957950816,0.11533471358063752,0.11533478851305282,-7.493241530043271e-08
5,"[-0.5, 0, 0]",8,0.0,0.45075614437385875,0.5001596176503089,-0.04940347327645017,0.26704491510168366,0.26704511535259834,-2.0025091468367506e-07
6,"[-0.5, 0, -0.5]",1,2.0,-0.10551759894046399,-0.05611457845440804,-0.04940302048605595,-0.28922882821263907,-0.2892290807521186,2.525394795505065e-07
6,"[-0.5, 0, -0.5]",2,2.0,-0.10551759894031866,-0.05611436253143211,-0.04940323640888655,-0.28922882821249374,-0.28922886482914273,3.661664899068384e-08
6,"[-0.5, 0, -0.5]",3,2.0,0.07601347909137929,0.1254165841879552,-0.04940310509657592,-0.1076977501807958,-0.1076979181097554,1.6792895959905074e-07
6,"[-0.5, 0, -0.5]",4,2.0,0.0760134790914534,0.1254166765953002,-0.04940319750384681,-0.1076977501807217,-0.1076978257024104,7.552168870827991e-08
6,"[-0.5, 0, -0.5]",5,0.0,0.1989753366424141,0.2483785787333276,-0.04940324209091351,0.015264107370239005,0.015264076435617002,3.093462200287611e-08
6,"[-0.5, 0, -0.5]",6,0.0,0.19897533664249548,0.2483787139914746,-0.04940337734897912,0.015264107370320384,0.01526421169376399,-1.0432344360600254e-07
6,"[-0.5, 0, -0.5]",7,0.0,0.5476168537930935,0.5970199745962329,-0.049403120803139355,0.36390562452091846,0.3639054722985223,1.5222239613255084e-07
6,"[-0.5, 0, -0.5]",8,0.0,0.5476168537931648,0.5970200165828193,-0.04940316278965451,0.36390562452098973,0.36390551428510876,1.1023588097902604e-07
7,"[-0.5, -0.5, 0]",1,2.0,-0.10551759894045165,-0.05611453886981001,-0.049403060070641644,-0.28922882821262674,-0.28922904116752063,2.129548938856196e-07
7,"[-0.5, -0.5, 0]",2,2.0,-0.10551759894032704,-0.05611440256107382,-0.04940319637925322,-0.2892288282125021,-0.28922890485878444,7.664628232095794e-08
7,"[-0.5, -0.5, 0]",3,2.0,0.0760134790914141,0.1254166072437334,-0.049403128152319314,-0.107697750180761,-0.1076978950539772,1.4487321620126892e-07
7,"[-0.5, -0.5, 0]",4,2.0,0.07601347909142046,0.1254166567634788,-0.04940317767205833,-0.10769775018075463,-0.10769784553423181,9.535347718359066e-08
7,"[-0.5, -0.5, 0]",5,0.0,0.19897533664244688,0.2483786025114478,-0.04940326586900093,0.015264107370271784,0.015264100213737197,7.156534587160479e-09
7,"[-0.5, -0.5, 0]",6,0.0,0.1989753366424626,0.2483786856199515,-0.04940334897748888,0.015264107370287522,0.015264183322240887,-7.595195336551619e-08
7,"[-0.5, -0.5, 0]",7,0.0,0.5476168537931018,0.5970199802700523,-0.049403126476950554,0.3639056245209267,0.36390547797234174,1.4654858493390321e-07
7,"[-0.5, -0.5, 0]",8,0.0,0.5476168537931657,0.597020013122535,-0.04940315932936934,0.3639056245209906,0.3639055108248245,1.1369616614853584e-07
8,"[-0.5, -0.5, -0.5]",1,2.0,-0.17189630491994418,-0.1224931590590292,-0.049403145860914974,-0.35560753419211927,-0.3556076613567398,1.2716462055584188e-07
8,"[-0.5, -0.5, -0.5]",2,2.0,-0.07719171664847191,-0.02778856159006763,-0.04940315505840428,-0.260902945920647,-0.26090306388777823,1.1796713123013447e-07
8,"[-0.5, -0.5, -0.5]",3,2.0,0.13863066694912468,0.1880336743698371,-0.04940300742071241,-0.04508056232305041,-0.04508082792787352,2.6560482310755695e-07
8,"[-0.5, -0.5, -0.5]",4,2.0,0.13863066694920242,0.1880338900979496,-0.04940322314874718,-0.04508056232297267,-0.045080612199761005,4.98767883383433e-08
8,"[-0.5, -0.5, -0.5]",5,0.0,0.23251455127214643,0.2819177658377414,-0.04940321456559499,0.04880332199997134,0.04880326354003081,5.845994052733339e-08
8,"[-0.5, -0.5, -0.5]",6,0.0,0.29904594285269054,0.3484490886015432,-0.049403145748852684,0.11533471358051545,0.11533458630383261,1.2727668283196714e-07
8,"[-0.5, -0.5, -0.5]",7,0.0,0.2990459428527477,0.3484492828352531,-0.0494033399825054,0.11533471358057262,0.11533478053754251,-6.695696988523459e-08
8,"[-0.5, -0.5, -0.5]",8,0.0,0.4507561443738501,0.5001595999689088,-0.04940345559505871,0.267044915101675,0.2670450976711982,-1.8256952322159847e-07
